station,latitude,longitude,free_bikes,empty_slots,total_bike_cap,uid,renting,returning,last_updated,has_ebikes,ebikes,payment,payment-terminal,slots,rental_uris.android,rental_uris.ios,distanceyelp,poiname,location.address,ratingyelp,categories,distancefoursq,namefoursq,location.addressfoursq,ratingfoursq,popularityfoursq,categoriesfoursq
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,99.81102691941472,The Liberty Tavern,3195 Wilson Blvd,3.8,bar,97,The Liberty Tavern,3195 Wilson Blvd,8.5,0.982388775009383,bar
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,99.81102691941472,The Liberty Tavern,3195 Wilson Blvd,3.8,bar,240,Lyon Hall,3100 Washington Blvd,8.5,0.9821866789849004,bar
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,99.81102691941472,The Liberty Tavern,3195 Wilson Blvd,3.8,bar,131,The Lot,3217 10th St N,8.0,0.9721107486214164,bar
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,99.81102691941472,The Liberty Tavern,3195 Wilson Blvd,3.8,bar,62,O'Sullivan's Irish Pub,3207 Washington Blvd,7.5,0.980685394231602,bar
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,99.81102691941472,The Liberty Tavern,3195 Wilson Blvd,3.8,bar,442,Screwtop Wine Bar,1025 N Fillmore St,8.5,0.9652106129283714,bar
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,99.81102691941472,The Liberty Tavern,3195 Wilson Blvd,3.8,bar,200,Pamplona,3100 Clarendon Blvd,7.7,0.9549037156797644,bar
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,99.81102691941472,The Liberty Tavern,3195 Wilson Blvd,3.8,bar,426,The Board Room,925 N Garfield St,8.2,0.9720241360394952,bar
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,99.81102691941472,The Liberty Tavern,3195 Wilson Blvd,3.8,bar,157,Don Tito,3165 Wilson Blvd,7.3,0.9886248809076998,bar
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,99.81102691941472,The Liberty Tavern,3195 Wilson Blvd,3.8,bar,311,East West Coffee Wine,3101 Wilson Blvd,7.5,0.9730634870225482,bar
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,99.81102691941472,The Liberty Tavern,3195 Wilson Blvd,3.8,bar,460,Wilson Hardware Kitchen & Bar,2915 Wilson Blvd,7.3,0.9670006062880736,bar
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,274.1937988065966,Smokecraft Modern Barbecue,1051 N Highland St,4.3,bar,97,The Liberty Tavern,3195 Wilson Blvd,8.5,0.982388775009383,bar
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,274.1937988065966,Smokecraft Modern Barbecue,1051 N Highland St,4.3,bar,240,Lyon Hall,3100 Washington Blvd,8.5,0.9821866789849004,bar
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,274.1937988065966,Smokecraft Modern Barbecue,1051 N Highland St,4.3,bar,131,The Lot,3217 10th St N,8.0,0.9721107486214164,bar
