station,latitude,longitude,free_bikes,empty_slots,total_bike_cap,distanceyelp,poiname,location.address,ratingyelp,distancefoursq,namefoursq,location.addressfoursq,ratingfoursq,popularityyelp,categories
East End Library,37.539778925345864,-77.41146002560403,4,2,6,645.388528556957,The Roosevelt,623 N 25th St,4.2,773,Union Market,2306 Jefferson Ave,9.4,0.9849659425465568,bar
East End Library,37.539778925345864,-77.41146002560403,4,2,6,645.388528556957,The Roosevelt,623 N 25th St,4.2,912,Liberty Public House,418 N 25th St,8.7,0.975994286012926,bar
East End Library,37.539778925345864,-77.41146002560403,4,2,6,645.388528556957,The Roosevelt,623 N 25th St,4.2,604,Kahlo’s Taqueria and Bar,718 N 23rd St,7.8,0.971639112938348,bar
East End Library,37.539778925345864,-77.41146002560403,4,2,6,645.388528556957,The Roosevelt,623 N 25th St,4.2,917,Leisure Business Advisors,2010 Princess Anne Ave,,0.2839747051547828,office
East End Library,37.539778925345864,-77.41146002560403,4,2,6,645.388528556957,The Roosevelt,623 N 25th St,4.2,999,Armstrong Renaissance,1665 N 31st St,,0.3240074560563036,office
East End Library,37.539778925345864,-77.41146002560403,4,2,6,579.9604144034737,Kahlo’s Taqueria and Bar,718 N 23rd St,4.1,773,Union Market,2306 Jefferson Ave,9.4,0.9849659425465568,bar
East End Library,37.539778925345864,-77.41146002560403,4,2,6,579.9604144034737,Kahlo’s Taqueria and Bar,718 N 23rd St,4.1,912,Liberty Public House,418 N 25th St,8.7,0.975994286012926,bar
East End Library,37.539778925345864,-77.41146002560403,4,2,6,579.9604144034737,Kahlo’s Taqueria and Bar,718 N 23rd St,4.1,604,Kahlo’s Taqueria and Bar,718 N 23rd St,7.8,0.971639112938348,bar
East End Library,37.539778925345864,-77.41146002560403,4,2,6,579.9604144034737,Kahlo’s Taqueria and Bar,718 N 23rd St,4.1,917,Leisure Business Advisors,2010 Princess Anne Ave,,0.2839747051547828,office
East End Library,37.539778925345864,-77.41146002560403,4,2,6,579.9604144034737,Kahlo’s Taqueria and Bar,718 N 23rd St,4.1,999,Armstrong Renaissance,1665 N 31st St,,0.3240074560563036,office
East End Library,37.539778925345864,-77.41146002560403,4,2,6,772.7246230177311,Union Market,2306 Jefferson Ave,4.3,773,Union Market,2306 Jefferson Ave,9.4,0.9849659425465568,bar
