station,distance,name,location.address,rating,popularity,categories,latitude,longitude
Fairfax Dr & Wilson Blvd,97,The Liberty Tavern,3195 Wilson Blvd,8.5,0.9821031665848801,bar,38.886352,-77.096879
Fairfax Dr & Wilson Blvd,131,The Lot,3217 10th St N,8.0,0.9726062985307277,bar,38.88473,-77.097553
Fairfax Dr & Wilson Blvd,240,Lyon Hall,3100 Washington Blvd,8.5,0.9823052276073089,bar,38.885507,-77.094938
Fairfax Dr & Wilson Blvd,62,O'Sullivan's Irish Pub,3207 Washington Blvd,7.5,0.9808908004503074,bar,38.886174,-77.09724
Fairfax Dr & Wilson Blvd,442,Screwtop Wine Bar,1025 N Fillmore St,8.5,0.9659671506509252,bar,38.885366,-77.092691
Fairfax Dr & Wilson Blvd,200,Pamplona,3100 Clarendon Blvd,7.7,0.9540166844672805,bar,38.886275,-77.095397
Fairfax Dr & Wilson Blvd,426,The Board Room,925 N Garfield St,8.1,0.971393932396155,bar,38.883859,-77.093208
Fairfax Dr & Wilson Blvd,157,Don Tito,3165 Wilson Blvd,7.3,0.9885979851629478,bar,38.886695,-77.096409
Fairfax Dr & Wilson Blvd,311,East West Coffee Wine,3101 Wilson Blvd,7.5,0.973212481598014,bar,38.887544,-77.09536
Fairfax Dr & Wilson Blvd,460,Wilson Hardware Kitchen & Bar,2915 Wilson Blvd,7.3,0.9670929192044568,bar,38.888531,-77.093736
South St & University Dr,219,High Side,4009 Chain Bridge Rd,8.3,0.9683921948072891,bar,38.845883,-77.306557
South St & University Dr,331,The Wine House,3950 University Dr,8.4,0.9404934687953556,bar,38.847384,-77.305246
South St & University Dr,312,The Auld Shebeen,3971 Chain Bridge Rd,7.7,0.9706498951781971,bar,38.846802,-77.306194
South St & University Dr,292,21 Great American Bistro,10427 North St,7.6,0.7813255926463474,bar,38.846744,-77.305345
South St & University Dr,307,Ornery Beer Company,3950 University Dr,7.3,0.9645218513143041,bar,38.847124,-77.305176
South St & University Dr,175,Capital Ale House,4069 Chain Bridge Rd,,0.9575874858893727,bar,38.844252,-77.30739
South St & University Dr,222,Firehouse,3988 University Dr,,0.7255281406224803,bar,38.846374,-77.305347
South St & University Dr,233,Sager School,4000 Chain Bridge Rd,,0.04732737208932411,school,38.845626,-77.307371
South St & University Dr,233,The Funktastical Fo' Thousand Karaoke Celebration,3988 University Dr,,0.1854539590388647,bar,38.84632,-77.305383
South St & University Dr,233,The Most Crunk Karaoke Show in Town,3988 University Dr,,0.10095145944202548,bar,38.84632,-77.305383
Fessenden St & Wisconsin Ave NW,319,Georgetown Day School,4200 Davenport St NW,,0.9948400330109689,school,38.951862,-77.08282
Fessenden St & Wisconsin Ave NW,457,Satay Club Asian Restaurant and Sushi Bar,4654 Wisconsin Ave NW,,0.8112285368609132,bar,38.950852,-77.080986
Fessenden St & Wisconsin Ave NW,467,Alley Cat,5247 Wisconsin Ave NW,,0.9430400538431338,bar,38.958761,-77.084296
Fessenden St & Wisconsin Ave NW,219,St John's Community Service,5151 Wisconsin Ave NW,,,school,38.956708,-77.083155
Fenton St & Gist Ave,268,Kaldi's Social House,918 Silver Spring Ave,9.0,0.9985295442849488,bar,38.991299,-77.025742
Fenton St & Gist Ave,482,Quarry House Tavern,8401 Georgia Ave,9.1,0.9983661461504516,bar,38.993536,-77.026436
Fenton St & Gist Ave,259,Golf Ultra Lounge,8123 Georgia Ave,7.5,0.9944363037200054,bar,38.991226,-77.026114
Fenton St & Gist Ave,477,The Urban Winery,949 Bonifant St,7.7,0.9606511130069963,bar,38.993943,-77.02576
Fenton St & Gist Ave,142,The Nora School,955 Sligo Ave,,0.7284382162533511,school,38.99048,-77.025236
Fenton St & Gist Ave,194,Sheger Spring Cafe,900 Silver Spring Ave,,0.9866286114927333,bar,38.991432,-77.024278
Fenton St & Gist Ave,221,Citizens and Culture,8113 Georgia Ave,,0.9965136886481186,school,38.990961,-77.026129
Fenton St & Gist Ave,237,Hot Spot,8203 Fenton St,,0.6912184518312346,bar,38.99193,-77.023865
Fenton St & Gist Ave,416,Mix Bar and Grille,8241 Georgia Ave,5.7,0.9814536742574552,bar,38.992804,-77.026276
Fenton St & Gist Ave,304,Fire Station 1,8131 Georgia Ave,5.4,0.9779024422360311,bar,38.991483,-77.026267
Barcroft Community Center,352,Educate The Girls,1529 S George Mason Dr,,,school,38.852086,-77.104387
Pimmit Dr & Los Pueblos Ln,273,Tysons Pub,7511 Leesburg Pike,,0.6814676018574961,bar,38.90327,-77.204717
New Hampshire Ave & Ward Pl NW,83,Mercy Me DC Restaurant,1143 New Hampshire Ave NW,8.9,0.9849607794434607,bar,38.904793,-77.047469
New Hampshire Ave & Ward Pl NW,109,Washington Marriott Concierge Lounge,1221 22nd St NW,8.1,0.968495356830947,bar,38.906228,-77.048291
New Hampshire Ave & Ward Pl NW,172,Casta's,1121 New Hampshire Ave NW,7.9,0.9656269279767962,bar,38.90424,-77.047918
New Hampshire Ave & Ward Pl NW,447,Pisco y Nazca Ceviche Gastrobar,1823 L St NW,8.7,0.9831660083168412,bar,38.903993,-77.042751
New Hampshire Ave & Ward Pl NW,181,Quadrant,1150 22nd St NW,7.8,0.9810908042016874,school,38.904592,-77.049218
New Hampshire Ave & Ward Pl NW,355,Park Hyatt Lounge and Bar,1201 24th St NW,8.1,0.9674136867323146,bar,38.905862,-77.051119
New Hampshire Ave & Ward Pl NW,152,Chef Geoff's West End,2201 M St NW,7.5,0.9883580247902762,bar,38.905547,-77.049148
New Hampshire Ave & Ward Pl NW,162,The Lobby Lounge at Ritz-Carlton,1150 22nd St NW,7.5,0.9470702765069267,bar,38.904592,-77.049218
New Hampshire Ave & Ward Pl NW,427,Emissary,2032 P St NW,8.2,0.9831419712035383,bar,38.909394,-77.046426
New Hampshire Ave & Ward Pl NW,459,North Italia,2112 Pennsylvania Ave NW,8.1,0.9818519794562804,bar,38.90149,-77.047972
Maple & Ritchie Ave,333,Piney Branch Elementary School,7510 Maple Ave,,0.9897959183673469,school,38.982237,-77.009448
Maple & Ritchie Ave,307,Montgomery County Public Schools,7510 Maple Ave,,,school,38.982342,-77.009459
N Howard St & N Imboden St,415,St Stephen's & St Agnes School,1000 Saint Stephens Rd,,0.9946638207043756,school,38.81806,-77.101097
N Howard St & N Imboden St,506,Alexandria City Public Schools,4643 Taney Ave,,0.7091248665955177,school,38.817924,-77.111263
N Howard St & N Imboden St,225,Communities In School Of S Bay,4345 Raleigh Ave,,,school,38.816484,-77.10577
Market Square / King St & Royal St,111,Basin Street Lounge,219 King St,8.2,0.9671291355389541,bar,38.804663,-77.042046
Market Square / King St & Royal St,103,Gadsby's Tavern,138 N Royal St,8.0,0.9805229455709712,bar,38.805681,-77.043707
Market Square / King St & Royal St,82,Grape + Bean,118 S Royal St,7.9,0.2837246531483458,bar,38.803947,-77.043571
Market Square / King St & Royal St,297,Mai Thai,6 King St,8.2,0.9812166488794023,bar,38.804033,-77.040047
Market Square / King St & Royal St,291,Virtue Feed and Grain,106 S Union St,8.1,0.9929028815368196,bar,38.803768,-77.040062
Market Square / King St & Royal St,287,Union Street Public House,121 S Union St,8.0,0.9889007470651013,bar,38.803472,-77.040662
Market Square / King St & Royal St,356,Murphy S Grand Ir,713 King St,8.0,0.9855923159018143,bar,38.805266,-77.047449
Market Square / King St & Royal St,234,Daniel O'Connell's,112 King St,7.6,0.9849519743863394,bar,38.804097,-77.040811
Market Square / King St & Royal St,311,Vola’s Dockside Grill and Hi-Tide Lounge,101 N Union St,7.8,0.9964247598719317,bar,38.804407,-77.03996
Market Square / King St & Royal St,222,Urbano,116 King St,7.5,0.9598185699039488,bar,38.804038,-77.040931
Westpark & Jones Branch Dr,257,The Atrium Lounge,7920 Jones Branch Dr,6.1,0.9557066715677265,bar,38.926523,-77.216129
Westpark & Jones Branch Dr,254,Hilton Hotel Bar,7920 Jones Branch Dr,,0.9876860871163389,bar,38.926523,-77.216129
Westpark & Jones Branch Dr,255,Opus 88,7920 Jones Branch Dr,,0.3615144274949458,bar,38.926477,-77.215998
Westpark & Jones Branch Dr,421,City Works,1640 Capital One Dr,,0.9450468663848557,bar,38.924238,-77.212555
Westpark & Jones Branch Dr,268,Flamingo's Lounge,7920 Jones Branch Dr,,,bar,38.926477,-77.215998
Wilson Blvd & N Illinois St ,470,Saint Ann Catholic School,980 N Frederick St,,0.9511300984325838,school,38.880607,-77.126441
Temporary Rd & Old Reston Ave,261,The Capital Burger,11853 Market St,7.9,0.9952915685185649,bar,38.958522,-77.355673
Temporary Rd & Old Reston Ave,472,Makers Union,1811 Library St,7.8,0.9927395181295177,bar,38.958263,-77.358345
Temporary Rd & Old Reston Ave,350,Taste of Reston,11900 Market St,6.2,0.9389768145492882,bar,38.958906,-77.357276
Temporary Rd & Old Reston Ave,380,Sixty Vines,11905 Market St,,0.992701320500698,bar,38.958465,-77.357291
Temporary Rd & Old Reston Ave,298,Tara School,11730 Bowman Green Dr,,,school,38.96277,-77.353522
Temporary Rd & Old Reston Ave,493,Fairfax Collegiate School,1766 Ivy Oak Sq,,,school,38.957542,-77.348729
Georgia Ave & Emerson St NW,411,Bar Illusion,5213 Georgia Ave NW,,0.10545081605999664,bar,38.953353,-77.027249
Georgia Ave & Emerson St NW,422,Luna Restaurant,5217 Georgia Ave NW,,0.9029942230804362,bar,38.953458,-77.02726
Georgia Ave & Emerson St NW,467,John Lewis Elementary School,1335 Farragut St NW,,0.9936702268302259,school,38.951119,-77.032377
Georgia Ave & Emerson St NW,464,West Education Campus,1338 Farragut St NW,,,school,38.951173,-77.03234
Georgia Ave & Emerson St NW,474,District Of Columbia Pubc Sch,1338 Farragut St NW,,,school,38.951384,-77.032362
Carlin Springs Rd & N Thomas St,402,Mussel Bar & Grille,800 N Glebe Rd,8.2,0.9596455272349392,bar,38.880198,-77.114688
Carlin Springs Rd & N Thomas St,460,Grand Cru Wine Bar and Bistro,4401 Wilson Blvd,7.6,0.9399590104783073,bar,38.880358,-77.113694
Carlin Springs Rd & N Thomas St,428,Punch Bowl Social,4238 Wilson Blvd,7.0,0.9852206795023526,bar,38.87966,-77.11101
Carlin Springs Rd & N Thomas St,447,Hawkers Asian Street Food,4201 Wilson Blvd,6.9,0.9845856305747193,bar,38.880409,-77.110835
Carlin Springs Rd & N Thomas St,323,The Sports Page,627 N Glebe Rd,,0.7788875097422279,bar,38.878542,-77.110219
Carlin Springs Rd & N Thomas St,351,Superette,4238 Wilson Blvd,,0.933031203995035,bar,38.879514,-77.110784
Carlin Springs Rd & N Thomas St,354,Local Oyster,4238 Wilson Blvd,,0.22584649135467483,bar,38.87956,-77.110915
Carlin Springs Rd & N Thomas St,362,Whino,4238 Wilson Blvd,5.5,0.964264064890454,bar,38.87961,-77.110963
Carlin Springs Rd & N Thomas St,403,K.W. Barrett,4401 N Henderson Rd,,0.9738475305256473,school,38.872837,-77.112151
Carlin Springs Rd & N Thomas St,405,FPA Penalty Box,4201 Wilson Blvd,,0.8274110209854805,bar,38.880551,-77.111145
Hilltop Rd & Willowmere Dr ,475,Cedar's Hookah,,8.0,0.9981953022832339,bar,38.873064,-77.244132
Hilltop Rd & Willowmere Dr ,175,Elizabeth Blackwell School,2812 Old Lee Hwy,,0.8577210743865927,school,38.875342,-77.241175
Hilltop Rd & Willowmere Dr ,165,Hillwood School,2812 Old Lee Hwy,,,school,38.875452,-77.241102
Hilltop Rd & Willowmere Dr ,170,Fairfax County School District,2812 Old Lee Hwy,,,school,38.875397,-77.241138
Adams Mill & Columbia Rd NW,25,Taqueria Al Lado,1792 Columbia Rd NW,8.3,0.9742001650548446,bar,38.922667,-77.042355
Adams Mill & Columbia Rd NW,208,Lapis,1847 Columbia Rd NW,9.1,0.9785669073048787,bar,38.921365,-77.043949
Adams Mill & Columbia Rd NW,203,La Pop,1847 Columbia Rd NW,8.4,0.9009831179340902,school,38.921365,-77.043949
Adams Mill & Columbia Rd NW,97,Madam's Organ,2461 18th St NW,7.9,0.9665964248800147,bar,38.922046,-77.042123
Adams Mill & Columbia Rd NW,378,The Green Zone,2226 18th St NW,9.2,0.9826852660507824,bar,38.919464,-77.041983
Adams Mill & Columbia Rd NW,90,Bossa,2463 18th St NW,7.8,0.9438332785821308,school,38.922046,-77.042123
Adams Mill & Columbia Rd NW,171,Elfegne,2420 18th St NW,7.8,0.9552428950299262,bar,38.921237,-77.042419
Adams Mill & Columbia Rd NW,152,Club Timehri,2439 18th St NW,7.7,0.9255570601007956,bar,38.92147,-77.042021
Adams Mill & Columbia Rd NW,261,Grand Duchess,2337 18th St NW,6.9,0.9781422516365268,bar,38.920542,-77.041588
Adams Mill & Columbia Rd NW,227,Tiki On 18th,2411 18th St NW,6.8,0.9798248495677325,bar,38.920958,-77.041715
W Columbia St & N Washington St,441,South Block Co,2121 N Westmoreland St,9.1,0.9694310538925612,bar,38.886101,-77.161857
W Columbia St & N Washington St,450,Dmawef,200 Little Falls St,,,school,38.884954,-77.172057
D St & Maryland Ave NE,145,Higher Achievement Program,317 8th St NE,,0.47094313620229633,school,38.894024,-76.994623
D St & Maryland Ave NE,326,Carbery School,410 5th St NE,,0.06344195437755895,school,38.895434,-76.999823
D St & Maryland Ave NE,372,School Within School,920 F St NE,,0.9330566394513128,school,38.897591,-76.993133
D St & Maryland Ave NE,406,Stuart-Hobson Middle School,410 E St NE,,0.9892954722090909,school,38.896531,-77.000061
D St & Maryland Ave NE,406,School Within School-Peabody,425 C St NE,,0.6442346983742899,school,38.892894,-76.999901
D St & Maryland Ave NE,406,Peabody Elementary School,425 C St NE,,0.4824569134744045,school,38.892844,-76.999853
D St & Maryland Ave NE,413,Ludlow-Taylor Elementary School,659 G St NE,,0.9833663175943657,school,38.898612,-76.996734
D St & Maryland Ave NE,431,The Grotto,605 10th St NE,,0.24883219691203218,bar,38.897577,-76.992415
D St & Maryland Ave NE,462,Love Joy Lofts,440 12th St NE,,0.02745038339195718,school,38.895296,-76.990624
D St & Maryland Ave NE,548,Stuart Hobson MS Capitol Hill Cluster,410 E St NE,,0.13255666749461167,school,38.896371,-77.000087
Grandview & Blueridge Ave,374,GISELE'S Creole Cuisine,2407 Price Ave,8.1,0.9604612850082372,bar,39.040375,-77.050687
Grandview & Blueridge Ave,401,The Limerick Pub,11301 Elkin St,7.7,0.9625794304542246,bar,39.040508,-77.050193
Grandview & Blueridge Ave,341,Unplugged Restaurant & Sports Bar,11305 Georgia Ave,7.5,0.909155095316545,bar,39.040563,-77.051129
Grandview & Blueridge Ave,200,Laberinto Bar and Grill,2423 Hickerson Dr,,0.5857848905624853,bar,39.042573,-77.051167
Grandview & Blueridge Ave,297,Barnabys Restaurant and Sports Pub,2417 University Blvd W,,0.5777830077665334,bar,39.041749,-77.050744
Grandview & Blueridge Ave,308,Riverside Lounge,11272 Georgia Ave,,0.9220993174864675,bar,39.040321,-77.051696
Grandview & Blueridge Ave,343,Caliente Restaurant & Bar,2442 Ennalls Ave,,0.055542480583666745,bar,39.040234,-77.05232
Grandview & Blueridge Ave,385,Hakuna Matata Grill,2405 Price Ave,,0.899505766062603,bar,39.04038,-77.050603
Grandview & Blueridge Ave,444,Pashion Lounge And Restaurant,2310 Price Ave,,0.9218639679924688,bar,39.039922,-77.05026
Grandview & Blueridge Ave,445,Pearl Seafood Restaurant,11230 Grandview Ave,,0.4337491174393975,bar,39.039053,-77.052621
